vitesse_vent_ms,temperature_c,densite_air_kg_m3,turbulence_pct,energie_kwh
3.537,25.874,1.18,16.87,0.0
9.334,2.541,1.28,22.49,1404.21
10.927,30.428,1.163,9.432,1295.25
8.336,2.235,1.282,7.602,573.87
8.794,25.061,1.184,15.394,1098.39
17.727,14.864,1.226,15.784,1839.18
4.035,19.541,1.206,21.382,0.0
15.873,-3.273,1.308,18.166,1639.63
14.665,-1.257,1.298,17.995,1261.94
4.617,34.8,1.146,22.181,0.0
9.868,15.23,1.224,12.368,1010.85
4.639,-1.088,1.297,11.66,259.61
13.48,-4.977,1.316,15.356,1717.6
16.876,9.368,1.249,19.12,1417.75
2.683,34.319,1.148,16.677,70.33
7.663,3.054,1.278,17.702,514.94
7.276,2.312,1.281,10.882,388.17
4.022,15.107,1.225,20.103,84.8
10.513,3.358,1.277,5.172,211.64
9.839,-0.834,1.296,5.016,950.41
2.303,32.447,1.155,19.459,0.0
9.538,5.828,1.265,12.742,736.19
13.428,-4.041,1.312,16.855,2000.0
14.068,13.553,1.231,14.756,1359.3
8.748,5.515,1.267,8.398,379.19
14.764,17.554,1.214,16.973,1708.5
6.162,25.807,1.181,3.774,196.57
14.668,4.835,1.27,10.434,1310.71
14.75,25.417,1.182,21.963,1754.95
2.945,34.199,1.148,13.668,47.21
9.188,-1.85,1.301,17.145,775.2
16.341,12.127,1.237,20.497,1713.1
17.13,33.119,1.153,21.334,2000.0
4.558,11.69,1.239,22.287,83.3
14.252,22.742,1.193,17.914,1730.65
2.511,5.295,1.268,3.726,0.0
14.939,19.062,1.208,14.118,1599.52
2.866,19.416,1.207,21.022,366.7
18.586,-3.022,1.307,7.945,759.18
12.23,3.007,1.278,3.672,696.9
11.677,33.778,1.15,16.44,945.78
5.005,-3.458,1.309,7.655,515.06
7.813,20.561,1.202,10.478,342.66
7.31,-2.789,1.306,13.789,135.22
13.279,-3.696,1.31,13.417,1005.72
7.637,11.999,1.238,22.399,387.62
15.624,28.421,1.17,22.953,1757.53
2.615,15.757,1.222,16.583,0.0
5.282,3.022,1.278,7.907,1516.51
16.634,22.409,1.194,19.244,1904.39
6.151,11.809,1.239,11.843,484.08
5.369,34.763,1.146,11.692,270.77
11.719,17.576,1.214,7.997,1305.44
15.681,5.592,1.266,14.431,1991.2
15.124,33.348,1.152,3.078,2000.0
10.571,9.602,1.248,9.446,276.2
13.184,26.658,1.177,4.449,1105.08
14.744,13.098,1.233,9.845,1667.71
5.44,31.956,1.157,11.395,25.5
4.443,30.404,1.163,11.334,161.77
4.021,4.501,1.271,18.84,123.5
2.592,28.228,1.171,17.221,354.71
17.345,20.517,1.202,6.317,2000.0
12.738,-2.357,1.304,21.629,1030.15
12.922,21.501,1.198,20.415,1351.33
6.946,-1.128,1.298,3.316,0.0
15.169,1.005,1.288,13.286,678.5
3.132,32.828,1.154,5.119,126.27
4.446,7.426,1.258,18.069,0.0
9.346,24.738,1.185,13.972,1250.19
16.944,29.145,1.168,14.064,1909.66
7.426,12.706,1.235,8.034,1770.34
16.508,10.901,1.243,17.466,1791.59
7.466,-2.344,1.303,12.419,33.65
14.73,29.502,1.166,12.602,1148.74
18.865,14.92,1.225,12.688,1656.74
2.805,17.874,1.213,5.851,512.12
18.95,4.41,1.272,5.38,1967.45
8.254,19.085,1.208,8.134,400.65
3.085,17.564,1.214,13.553,247.01
14.469,34.122,1.149,5.029,1997.69
3.225,26.512,1.178,17.088,0.0
14.096,19.589,1.206,22.645,1981.66
8.477,7.829,1.256,21.466,1152.55
2.157,-1.999,1.302,16.813,98.4
9.796,28.867,1.169,11.634,664.94
16.839,18.808,1.209,3.888,2000.0
12.338,17.632,1.214,11.487,1633.6
4.82,16.252,1.22,7.893,0.0
9.274,24.135,1.187,8.491,429.74
6.023,8.916,1.251,12.057,0.0
11.97,31.116,1.16,7.959,1202.44
4.606,28.388,1.171,8.908,0.0
4.199,25.874,1.18,14.185,16.61
8.706,13.489,1.231,18.239,924.3
16.579,27.485,1.174,17.191,1859.36
2.696,19.789,1.205,7.693,0.0
13.658,33.242,1.152,22.817,1191.0
16.603,13.1,1.233,8.418,2000.0
7.68,7.053,1.26,12.125,618.32
6.122,25.521,1.182,10.077,168.83
16.44,9.76,1.248,22.692,1547.95
18.861,11.646,1.239,16.18,2000.0
10.789,-2.931,1.306,3.86,600.84
18.647,6.179,1.264,15.833,1910.55
13.924,12.164,1.237,18.837,121.23
6.784,7.843,1.256,4.008,306.6
11.451,4.23,1.273,7.45,857.79
2.907,-0.708,1.296,10.973,1938.17
10.149,5.723,1.266,10.028,586.99
10.845,13.957,1.229,10.583,431.48
17.943,14.271,1.228,9.794,2000.0
6.24,4.119,1.273,14.654,493.29
4.679,-0.654,1.295,18.082,0.0
5.519,14.001,1.229,19.861,0.0
8.68,18.505,1.21,19.25,98.17
7.768,-1.269,1.298,10.854,285.69
4.142,-0.364,1.294,21.565,0.0
5.048,1.23,1.286,21.266,0.0
16.032,2.677,1.28,15.535,2000.0
7.478,-3.543,1.309,11.647,1954.01
15.517,10.682,1.244,18.655,1937.5
12.724,28.683,1.169,7.826,1644.29
6.726,6.801,1.261,12.458,443.55
7.425,2.459,1.281,13.667,1165.98
9.444,28.913,1.169,13.281,768.29
7.392,12.856,1.234,21.455,137.73
14.619,21.235,1.199,4.671,2000.0
9.802,25.171,1.183,15.124,693.28
11.93,14.857,1.226,6.264,1069.92
17.182,-4.05,1.312,20.039,1420.56
15.215,-1.085,1.297,14.212,1989.11
14.944,19.942,1.204,14.882,1714.13
8.537,27.421,1.174,3.859,0.0
5.754,5.305,1.268,20.389,286.81
3.751,3.977,1.274,6.808,319.0
4.856,30.453,1.163,6.689,818.8
6.965,0.641,1.289,6.141,109.24
11.102,25.422,1.182,11.207,711.9
6.628,21.758,1.197,21.741,1585.02
3.606,7.071,1.26,6.32,64.68
3.055,-0.253,1.293,4.377,541.97
11.034,26.863,1.177,8.564,1316.48
5.7,27.82,1.173,4.871,49.95
15.215,32.119,1.156,10.865,1171.25
12.642,26.809,1.177,7.08,1966.76
17.344,32.821,1.154,15.846,1471.32
4.561,3.061,1.278,18.534,32.47
18.502,30.78,1.161,18.306,1211.66
7.314,20.76,1.201,11.536,66.86
5.441,0.091,1.292,8.975,72.07
3.618,28.07,1.172,12.47,13.36
8.883,34.632,1.147,3.524,641.7
11.689,-1.372,1.299,12.542,1537.09
5.726,0.351,1.291,17.906,749.61
8.398,19.252,1.207,7.333,706.48
14.695,31.12,1.16,12.022,2000.0
12.946,17.449,1.215,11.338,1589.24
7.582,30.313,1.163,10.106,249.13
18.806,26.389,1.178,8.735,380.08
4.104,16.74,1.218,20.218,350.43
5.977,18.39,1.211,13.395,312.03
12.035,5.017,1.269,7.311,783.48
4.467,20.57,1.202,13.506,0.0
18.293,8.931,1.251,16.68,1705.6
15.546,-3.035,1.307,18.2,2000.0
2.739,11.871,1.238,19.012,0.0
3.634,4.388,1.272,9.881,408.23
8.935,32.167,1.156,8.998,901.84
11.981,12.896,1.234,17.2,1440.53
16.507,3.783,1.275,3.804,2000.0
12.543,15.393,1.223,15.083,990.8
4.194,30.789,1.161,13.468,172.81
11.961,6.965,1.26,5.583,1059.59
9.585,17.176,1.216,4.019,123.93
13.468,2.144,1.282,8.104,1729.77
10.577,31.934,1.157,8.409,1272.34
18.246,10.454,1.245,21.636,1823.63
15.329,10.968,1.242,17.956,741.87
9.076,-2.967,1.306,17.783,529.01
10.642,29.697,1.166,3.724,801.44
14.543,8.076,1.255,5.809,2000.0
10.118,19.413,1.207,19.584,653.91
5.932,10.114,1.246,6.897,835.08
14.2,29.399,1.167,11.921,2000.0
9.461,17.036,1.216,18.845,356.82
6.678,10.155,1.246,3.02,16.22
2.386,32.071,1.156,19.315,418.48
18.739,19.746,1.205,4.154,2000.0
15.363,14.448,1.227,8.948,2000.0
5.085,-2.327,1.303,20.073,0.0
15.635,14.74,1.226,10.56,1809.3
7.826,31.894,1.157,8.99,299.0
3.442,16.071,1.22,20.656,242.58
15.625,24.883,1.184,17.781,2000.0
15.325,-2.128,1.302,15.929,1966.87
3.184,6.499,1.262,18.107,612.22
8.823,4.227,1.273,20.731,316.2
5.398,-1.007,1.297,16.147,32.55
14.063,5.189,1.268,19.301,2000.0
12.787,8.342,1.254,18.219,1853.18
18.691,17.171,1.216,22.585,2000.0
3.148,26.821,1.177,18.982,367.94
2.124,31.392,1.159,14.26,20.25
3.559,6.875,1.261,8.281,0.0
5.148,3.112,1.278,15.649,268.54
2.212,6.392,1.263,20.965,537.5
2.832,1.171,1.287,18.294,157.62
5.345,21.993,1.196,6.815,227.05
9.79,32.482,1.155,19.688,549.96
3.491,31.344,1.159,9.315,0.0
7.126,8.829,1.252,20.673,175.72
2.878,-1.438,1.299,22.117,74.55
11.006,-3.302,1.308,16.339,1447.24
9.082,-3.298,1.308,10.531,476.46
3.785,5.428,1.267,4.99,46.25
4.981,-3.11,1.307,21.303,0.0
16.713,24.339,1.187,15.711,1925.45
14.963,11.294,1.241,6.236,2000.0
15.251,8.907,1.251,10.866,2000.0
11.401,30.596,1.162,5.339,1032.78
8.631,12.246,1.237,19.199,587.72
9.424,14.747,1.226,9.772,557.52
4.611,23.477,1.19,6.221,197.78
12.774,6.593,1.262,7.202,1597.46
3.114,23.456,1.19,5.578,18.06
15.067,30.287,1.163,21.612,979.78
2.25,21.339,1.199,3.689,140.1
3.577,15.858,1.221,9.135,0.0
18.959,34.425,1.148,19.315,1507.38
14.228,10.596,1.244,17.082,2000.0
17.651,1.799,1.284,16.705,2000.0
16.379,-3.688,1.31,11.681,1616.26
12.212,1.024,1.287,8.766,925.74
13.52,11.851,1.239,4.999,1500.96
13.604,16.88,1.217,19.038,1513.42
9.62,7.307,1.259,19.438,862.0
9.726,29.069,1.168,12.83,791.47
13.471,15.879,1.221,18.646,1613.63
15.31,15.163,1.224,4.436,2000.0
4.357,18.501,1.21,3.702,0.0
14.345,1.252,1.286,13.12,1856.11
13.22,30.935,1.161,6.084,1565.58
15.341,15.63,1.222,7.186,1446.02
17.911,12.93,1.234,14.506,1404.68
6.055,9.862,1.247,12.304,0.0
9.031,27.256,1.175,5.07,121.69
14.474,16.832,1.217,17.179,1792.95
9.76,6.692,1.261,12.967,816.38
4.61,16.931,1.217,13.385,0.0
2.081,1.992,1.283,16.56,0.0
2.077,8.05,1.255,12.22,217.33
2.393,12.93,1.234,14.895,0.0
14.682,-1.377,1.299,21.539,2000.0
5.954,20.073,1.204,7.993,0.0
2.128,32.955,1.153,11.281,261.44
9.417,34.564,1.147,15.454,225.25
15.239,28.072,1.172,8.544,2000.0
2.092,27.398,1.174,4.081,996.03
11.122,12.929,1.234,9.361,1095.88
15.532,26.502,1.178,14.259,1935.93
3.881,13.899,1.23,4.533,0.0
6.094,3.523,1.276,14.173,286.35
2.72,5.641,1.266,10.605,0.0
7.133,31.531,1.159,22.965,225.09
16.426,23.326,1.191,6.359,1572.03
7.391,2.539,1.28,16.1,474.59
13.664,11.115,1.242,22.769,1066.28
11.669,27.792,1.173,5.024,1464.01
5.435,14.784,1.226,12.94,0.0
15.272,29.095,1.168,13.75,1304.69
11.551,8.561,1.253,14.251,1459.79
8.997,-2.126,1.302,5.826,589.95
2.609,14.089,1.229,9.625,591.37
2.942,32.467,1.155,15.286,378.62
3.406,9.979,1.247,13.195,724.25
17.515,2.524,1.28,17.105,1806.06
2.684,32.9,1.153,4.146,37.52
10.562,20.529,1.202,22.941,1009.94
13.088,-2.93,1.306,13.079,1734.24
11.443,31.867,1.157,15.048,998.1
12.108,-0.653,1.295,19.237,1089.42
12.525,13.557,1.231,20.34,1175.21
11.113,9.836,1.247,10.757,1376.84
6.9,28.19,1.171,8.572,225.1
16.497,28.989,1.168,15.292,1597.29
8.801,29.774,1.165,22.335,1193.68
6.108,7.489,1.258,22.732,1554.79
12.253,31.498,1.159,17.588,668.29
15.233,1.878,1.283,21.006,1527.14
17.614,0.602,1.289,12.849,2000.0
16.382,32.185,1.156,18.736,1523.11
18.307,2.548,1.28,12.072,2000.0
9.069,26.466,1.178,15.523,0.0
7.39,6.514,1.262,9.581,417.27
9.969,0.684,1.289,14.137,610.63
16.266,14.442,1.227,15.897,1635.03
12.119,31.244,1.16,20.382,1108.46
7.672,14.088,1.229,19.822,95.71
16.019,16.619,1.218,10.931,1198.58
15.265,11.066,1.242,15.756,2000.0
2.636,-3.396,1.309,13.331,77.09
2.3,11.333,1.241,16.186,0.0
3.43,8.287,1.254,18.945,0.0
15.726,32.317,1.156,11.194,1418.46
17.189,-3.564,1.309,19.724,1881.72
7.623,17.013,1.217,4.405,87.94
2.493,28.405,1.171,3.566,62.98
17.454,7.654,1.257,12.31,1452.45
12.383,-4.127,1.312,11.787,1409.24
16.217,26.171,1.179,3.224,1913.21
13.047,13.63,1.231,14.266,1755.52
11.731,9.771,1.248,4.616,1383.84
4.241,33.575,1.151,15.284,0.0
17.572,10.069,1.246,16.566,1968.84
14.038,15.803,1.222,21.636,1347.69
12.19,16.396,1.219,4.775,663.79
10.821,16.384,1.219,4.535,814.02
9.987,14.192,1.228,19.08,726.19
12.586,-0.393,1.294,5.766,999.22
3.616,5.912,1.265,3.659,218.42
16.667,11.557,1.24,22.92,1931.16
12.214,17.541,1.214,16.483,1161.72
13.253,-0.869,1.296,6.861,1470.78
15.492,23.842,1.189,22.482,1276.44
6.672,18.298,1.211,14.956,502.42
8.232,0.302,1.291,14.477,1428.68
4.209,3.279,1.277,14.75,385.36
10.851,9.799,1.248,6.459,864.17
17.343,16.98,1.217,16.129,1741.84
2.828,3.677,1.275,22.707,1907.0
4.512,4.007,1.274,10.095,0.0
16.904,16.33,1.219,21.738,1814.69
4.073,-2.682,1.305,4.503,0.0
9.374,12.981,1.234,20.506,661.3
3.328,-2.15,1.303,16.998,27.59
8.808,27.956,1.172,21.308,165.22
7.567,5.903,1.265,7.528,608.39
12.195,13.214,1.233,5.68,612.82
13.992,-2.965,1.306,7.153,2000.0
7.761,22.442,1.194,13.978,827.52
8.7,9.209,1.25,15.57,851.99
17.817,-1.874,1.301,4.138,2000.0
8.191,17.087,1.216,20.748,221.63
4.643,28.952,1.168,22.188,0.0
4.497,21.609,1.198,22.467,0.0
6.337,13.335,1.232,3.134,326.29
13.157,3.32,1.277,8.756,1413.18
7.011,1.514,1.285,4.431,492.95
2.125,-0.704,1.296,17.404,1163.61
14.202,8.786,1.252,16.737,1738.69
14.359,22.605,1.194,12.274,987.84
17.831,34.953,1.146,16.056,906.05
12.258,4.668,1.271,6.476,1578.94
4.139,16.487,1.219,14.925,45.89
3.732,23.993,1.188,16.467,318.46
4.014,6.852,1.261,21.699,0.0
2.629,13.023,1.233,8.078,257.49
2.973,2.82,1.279,19.25,0.0
4.611,4.146,1.273,4.402,0.0
13.896,29.04,1.168,5.477,1693.05
16.562,22.217,1.195,19.733,1312.41
7.804,27.729,1.173,13.98,872.68
3.728,14.022,1.229,13.223,0.0
11.732,18.306,1.211,5.166,1364.19
4.24,10.709,1.244,14.703,0.0
14.125,12.278,1.237,3.1,676.17
5.12,11.082,1.242,21.791,0.0
12.664,29.086,1.168,7.303,1665.01
15.587,14.917,1.225,16.969,1560.98
7.539,2.819,1.279,14.724,0.0
12.301,10.809,1.243,22.615,1178.95
2.009,15.026,1.225,21.517,848.73
4.997,-4.655,1.315,17.45,576.65
11.257,17.248,1.216,19.534,1003.61
14.162,0.077,1.292,8.423,2000.0
10.749,20.662,1.201,15.851,968.96
9.388,5.609,1.266,9.924,202.2
6.103,18.269,1.211,22.064,0.0
10.199,18.771,1.209,10.546,380.06
6.426,33.077,1.153,3.016,0.0
18.7,-4.435,1.314,8.838,2000.0
13.602,30.535,1.162,14.66,1676.82
3.897,26.066,1.18,4.966,111.83
3.79,12.514,1.236,14.309,0.0
4.457,17.603,1.214,21.05,660.55
7.038,16.142,1.22,17.633,986.14
15.961,6.522,1.262,7.505,2000.0
6.644,9.949,1.247,9.612,0.0
11.41,15.605,1.222,5.242,748.3
6.837,4.115,1.273,20.496,0.0
9.24,3.075,1.278,19.927,633.91
17.124,-3.306,1.308,14.124,1587.93
8.351,13.76,1.23,16.428,1116.66
12.534,10.387,1.245,22.759,815.54
13.895,17.507,1.214,16.66,1925.32
16.736,-2.037,1.302,14.8,2000.0
17.769,30.957,1.161,19.461,1445.81
9.716,29.565,1.166,19.278,340.25
9.979,20.618,1.202,6.072,728.31
4.124,11.134,1.242,15.997,0.0
16.153,11.131,1.242,5.193,1872.96
17.328,2.116,1.282,13.921,1722.83
13.915,34.402,1.148,17.471,1790.63
9.852,8.17,1.255,19.054,946.74
15.387,-2.234,1.303,13.882,2000.0
12.031,7.554,1.257,12.941,1819.74
11.034,2.602,1.28,11.052,1263.91
16.946,6.048,1.264,7.895,1952.56
11.428,7.59,1.257,7.734,988.16
13.093,23.414,1.19,3.947,1369.61
15.005,32.946,1.153,14.845,1479.02
9.113,4.534,1.271,7.436,1094.98
8.298,22.181,1.195,9.449,476.06
14.489,13.729,1.23,11.765,1890.69
2.324,6.405,1.263,14.1,0.0
17.98,19.096,1.208,12.91,2000.0
5.309,30.611,1.162,17.514,486.74
6.304,11.71,1.239,20.854,0.0
8.131,33.425,1.151,15.461,1545.65
10.087,11.909,1.238,16.287,550.76
18.346,8.451,1.253,12.451,1489.38
16.631,10.526,1.244,9.562,1705.21
17.914,7.574,1.257,5.066,1236.8
6.599,17.727,1.214,18.99,603.59
15.002,15.767,1.222,21.668,1256.09
2.423,-1.41,1.299,14.207,0.0
14.49,17.21,1.216,11.766,380.18
18.663,6.577,1.262,7.651,1849.95
14.493,7.333,1.258,3.054,1954.22
16.148,9.295,1.25,12.628,2000.0
3.846,29.973,1.164,8.704,323.31
8.67,26.938,1.176,21.136,305.65
14.497,-3.992,1.311,7.461,1887.53
4.446,7.829,1.256,7.92,0.0
7.482,-4.518,1.314,14.971,525.98
4.941,25.808,1.181,6.1,761.33
14.337,24.92,1.184,13.593,2000.0
10.322,32.027,1.157,15.79,618.94
18.815,4.828,1.27,22.733,1680.1
17.773,14.177,1.229,7.439,2000.0
11.075,12.05,1.238,8.849,1158.29
3.8,12.843,1.234,7.826,0.0
14.57,-3.714,1.31,10.594,2000.0
5.396,28.686,1.169,12.857,83.19
16.106,3.573,1.276,3.825,1671.82
4.784,3.637,1.275,4.718,1947.52
18.625,24.501,1.186,9.283,1781.16
13.302,19.783,1.205,18.805,1912.75
7.448,17.48,1.215,18.026,755.14
17.671,23.722,1.189,13.318,1868.1
11.879,34.036,1.149,19.385,1592.99
6.462,-3.195,1.308,11.047,158.55
14.841,14.045,1.229,22.154,1960.25
12.715,10.144,1.246,13.443,1219.36
13.387,0.388,1.29,18.122,1423.91
11.877,-3.757,1.31,5.105,1068.72
8.304,25.316,1.183,16.638,0.0
6.142,1.765,1.284,22.396,518.81
10.049,34.286,1.148,13.551,418.26
8.775,1.141,1.287,15.125,193.67
8.007,1.813,1.284,20.776,0.0
2.768,27.278,1.175,8.119,0.0
2.395,23.937,1.188,9.207,546.68
2.745,14.044,1.229,16.837,657.97
4.071,29.692,1.166,16.321,0.0
17.706,8.561,1.253,19.766,1653.11
13.837,21.35,1.199,11.043,1463.75
18.87,29.856,1.165,20.179,1885.17
17.926,32.435,1.155,18.353,1710.22
4.9,25.996,1.18,15.403,0.0
4.769,23.67,1.189,4.803,77.95
11.215,-2.651,1.305,3.409,956.01
14.726,12.161,1.237,21.524,1233.95
9.833,19.553,1.206,9.242,792.84
17.042,31.77,1.158,18.308,1810.88
7.4,8.589,1.253,14.069,0.0
17.096,29.274,1.167,10.126,1746.17
6.87,9.464,1.249,14.424,810.98
10.639,27.977,1.172,19.54,1123.26
14.563,26.832,1.177,12.885,1193.03
12.778,26.195,1.179,8.771,1051.73
2.837,34.255,1.148,7.776,0.0
6.213,32.954,1.153,17.892,1664.14
9.128,24.941,1.184,4.519,612.46
2.613,-0.286,1.294,13.968,0.0
14.405,29.916,1.165,5.704,1830.7
16.518,29.762,1.165,14.053,1872.9
5.434,20.467,1.202,5.278,159.53
11.042,5.269,1.268,12.099,1545.39
11.403,3.895,1.274,8.859,1340.06
17.159,20.369,1.203,5.446,1346.61
6.914,-0.043,1.292,22.026,64.4
6.084,33.883,1.15,14.765,412.14
12.71,24.193,1.187,3.913,939.58
2.883,27.889,1.173,10.626,74.55
4.136,12.004,1.238,14.929,789.87
3.601,-3.937,1.311,19.115,531.46
4.431,-4.828,1.316,8.651,0.0
10.061,19.757,1.205,12.155,615.24
7.551,2.878,1.279,9.733,540.23
6.096,28.499,1.17,20.863,0.0
12.839,-1.4,1.299,14.844,1377.3
16.356,25.977,1.18,16.016,1521.88
11.425,8.112,1.255,5.701,1035.7
6.77,30.341,1.163,16.47,441.35
7.09,-2.803,1.306,6.399,66.8
12.79,18.074,1.212,7.435,1226.32
3.88,27.579,1.174,14.917,70.85
8.587,19.419,1.206,3.981,870.01
4.28,0.132,1.292,7.991,0.0
2.507,14.012,1.229,15.958,52.18
3.832,21.733,1.197,15.353,0.0
6.84,12.39,1.236,20.903,1445.66
2.282,6.464,1.262,17.025,0.0
15.126,-3.764,1.31,10.304,2000.0
10.06,15.115,1.225,3.485,492.11
4.839,20.326,1.203,9.766,407.36
16.588,20.066,1.204,22.508,1398.53
14.555,-3.45,1.309,21.486,1599.83
5.542,22.754,1.193,4.474,485.34
7.836,8.227,1.254,9.326,587.2
11.47,29.646,1.166,10.468,1024.66
7.228,3.665,1.275,9.191,521.97
8.674,24.76,1.185,9.488,315.59
15.984,33.488,1.151,4.289,1898.89
15.326,18.573,1.21,21.883,1263.6
7.917,34.953,1.146,12.911,587.78
13.144,9.755,1.248,3.809,1472.45
17.722,10.66,1.244,11.45,2000.0
13.855,23.421,1.19,20.851,1496.99
